序号（ID）	服务名	服务名(中文)
1	QueryCustInfoByCustNum	根据客户号查询客户信息
2	QueryAssetInfoByServiceId_SAI	根据设备号查询订购关系
3	QuerySerialnbrListByBPnbr	根据分账序号查询设备号列表
4	QueryBPInfoByBPNum	根据分账序号查询账户信息
5	QueryDeviceInfoBySubSerialnbr	根据子资产设备号查根资产设备号等信息
6	QueryBPnbrListBySerialnbr	根据设备号查询分账序号列表
7	QueryAcctnbrBySerialnbr	根据设备号查客户号
8	QueryOrderInforByMSGID	根据流水号查询订单信息
10	QueryProdListByCustNbr	根据客户号查询客户资产列表
12	VerifyPublicAccountInfo2.0	根据身份证和用户名获取crmid
16	QueryOrderInforByOrderNumber	根据订单号查询订单信息
18	SetNewSingleProduct	单产品新装订单
19	AssetOrderAccept	在用设备订单受理(在线停机、复机、挂失、解卦)
20	InvokeCFWP	无机呼转申请/取消
21	UpdateMediaTypeByBPNumber	订制/取消帐单推送介质
22	BalanceNotify	设备余额提醒订制/取消
23	QueryOwe	欠费查询
24	QueryInvoice	使用分帐序号获取账单列表接口
25	ComplexPackageUse	套餐使用情况查询
26	ModifyAssetNewOrderAsyn	单产品改性能异步接口
27	PrintSGWInvoiceService	账单查询-图形
29	QueryDetailExternaBillInfo	账单明细查询-图形
33	Send_Billing_Parama	电子账单申请
35	QueryFaultProcess	障碍进度查询接口
36	QueryFaultList	故障列表接口
37	UrgeDeal112	催单接口
38	QueryServiceIdListByIdCard	调用身份证号查询设备列表
39	QueryInstallProgress	根据crm订单号,设备号查询安装进度
40	QueryOrderInforByServiceId	根据设备号查订单受理历史
41	GetCustNum	获取客户号
42	SendSMS10001	10001发送短信
43	WebQueryPromInfoByServiceId2.0	查询订购的销售品可选包
44	QueryDeviceInfo	查询设备状态 是否停机活动  
45	QueryCustBasicInfo	客户基本信息查询 （网站帐号）
46	QueryVPHCode	手机归属地查询
47	QueryPukCardInfo	SIM卡/PUK卡信息查询
48	SubscribeReqSV	一键退订增值业务
49	NewSingleProductInstallAsyn	单产品新装异步接口
50	PrintNewInvoiceService	新账单查询
51	QueryDetailExternaBillAllInfo	新账单明细查询
52	QueryOrderInforByMSGID	根据流水号查询订单信息
53	EStore	流量下单接口
54	PrintNewInvoiceDetailService	新账单明细查询
55	QueryGrantBalance	查询赠金余额
56	QuerySerialNumBySerialNumber	根据大AD查小AD
57	QueryAccountInfoByAccountNumberNew	根据CRMID查询客户信息
58	JudgeBillNewOROld	判断新老账单服务
59	SearchSumPoints	积分总额查询
60	QueryOrderInforByAccountNum	按客户号查询所有订单产品行项目
61	QueryRealtimeCostsOCS	查询预付费实时话费
62	QueryBalanceDetailIAM	查询后付费预存款余额明细
63	GetComplexOrderStatus	获取订单状态
64	QueryRealtimeBillDetailABP	查询后准预付费实时话费
65	RunBiz	客保订单创建和状态查询及时间查询
66	ValidateCampaign	电子渠道活动校验
67	smsSend	异网短信发送
112	TianYiBaoZhang112_InvokeOprate	天翼客服报障112接口_启动某种操作
113	TianYiBaoZhang112_QueryResult	天翼客服报障112接口_查询操作结果数据
114	QueryHistoryOwe	查询历史欠费信息
115	QueryPackageSerialListBySerialNbr	根据设备号取同一套餐下所有设备号
116	QueryPromInfoByServiceId	根据设备号查询销售品信息(到期时间等)
117	QueryServiceIdListByIdCard1.0	调用身份证号查询设备列表
118	QueryPromAssetInforByAccountNum3.0	根据客户号查销售品列表
121	QueryOrderInforByAccountNum2.0	按客户号查询所有订单产品行项目
122	QueryAccountInfoByAccountNumberNew2.0	根据客户ID获取资产详情
123	QueryOrderInforByOrderNumber3.0	根据订单号查询订单信息
124	ModifyAssetNewOrderAsyn1.0	单产品改性能异步接口
126	AssetOrderAccept2.0	在用设备订单受理(停机、复机、挂失、解卦)
127	UpdateMediaTypeByBPNumber2.0	订制/取消帐单推送介质
128	SendBillingToCRM1.0	网上客服帐单投送申请
131	QuerySerialNumBySerialNumber2.0	通过大ad(设备号)获得小ad(宽带上网帐号）
132	QueryOutsourceEmployeeInfo1.0	查询业务人员信息
133	PayConfirm1.0	更新CRM订单支付状态接口
134	QueryPromotionStrInfo2.0	销售品关系信息查询接口
135	QueryPaymentInfoByOrderNum2.0	调用CRM根据订单号查询CRM代缴款信息
136	NewCreatePublicAccount2.0	客户创建接口
137	NewCreateAccountAddress2.0	新建客户地址
138	QueryAccountAllInfoByAccountNO	获取客户信息（QQ号码、邮箱）
139	UpdateAccountCheckResult1.0	客户实名制状态更新
141	QueryOWEByAccountName	根据身份证_姓名查询欠费客户信息
142	QueryServiceIdListByAccountNO	设备清单查询
143	QueryPaymentRecharge	查询缴费充值信息
145	CreatePointOrder1.0	积分订单创建
146	GetPointLimitCrmid1.0	积分兑换黑名单
147	SearchSumPoints1.0	积分总额查询
148	GetOrderDataList1.0	根据业务流水号查询电子业务受理单数据列表
149	GetOrderDataByFileID1.0	获取文件数据
150	executeXML	电渠微信通过该接口发送开通实时回访数据
151	InvokeOperate1.0	固话报修
152	ExchangePoints	兑换接口
153	BlackListService	黑名单提醒类型订购退订
154	WhiteListService	白名单提醒类型订购退订
155	StatusQueryService	提醒订制当前状态表查询
156	HistoryQueryService	提醒订制历史表查询
157	EStoreServiceDAT	流量异步下单
158	EStoreServiceOrderSubmit	连卡订单提交
159	NoticeIBPStatus	根据P6号查询设备装维进度
160	PrintSgwinvoiceService	查询老版账单
161	QueryBillInvoice	根据分账序号和起止日期查询帐单信息
162	QueryListDistunteInfo	物流查询接口
163	QueryOutOfPackage	查询套外使用情况
164	QueryPackageUse	查询套餐信息
165	QueryPrepayAmount	手机设备余额
166	QueryPromInfoByServiceId_SAI	查询增值业务
167	QueryResourceAccessAbility	资源接入能力查询
168	QuerySubsInstQrySV	订购关系查询
169	SocketZDClient	新掌厅 账单查询 分账序号查询
170	Upgrated4GPath	3G升4G路径推荐接口
171	VnetAuthInterface	宽带密码重置与修改
172	QueryMobileByProducID	连卡号码查询、绑定
173	QueryBillDetail1.0	查询套餐使用情况
174	QueryHisBill1.0	查询历史套餐使用情况
175	SCMWebServiceDxFacadePort	ERP系统全部接口
176	ReserveTelNum	号码预占/取消号码预占
177	ReserveTelNumByCustomer	用户预占/取消号码预占
178	QueryNumber	查询可用号码
179	QueryAddress4Web	综资地址校验
180	ForeignService	无纸化数据归档
181	BalanceEasyCheck	余额一点通
182	ReserveAndReleaseNumber	号码预占/取消(综资)
183	SDQueryDetailInfoByOrdernbr	甩单根据流水号查询订单详情
184	SDSumbitList	甩单订单提交入库
185	QueryAddrBPListByAccountNumber	按客户号获取客户地址帐户信息
